year,month,level,category,units,yoy_pct
2025,2,model,,50,
2025,2,model,,50,
2025,2,model,,50,
2025,2,model,,50,
2025,2,model,,50,
2025,2,model,,50,
2025,2,model,,50,
2025,2,model,,50,
2025,2,model,,50,
2025,2,model,,50,
2025,2,model,,50,
2025,2,model,,50,
2025,2,model,,50,
2025,2,model,,50,
2025,2,model,,50,
2025,2,model,,50,
2025,2,model,,50,
2025,2,model,,50,
2025,2,model,,50,
2025,2,model,,50,
2025,2,model,,50,
2025,2,model,,50,
2025,2,model,,101,
2025,2,model,,101,
2025,2,model,,101,
2025,2,model,,101,
2025,2,model,,101,
2025,2,model,,101,
2025,2,model,,101,
2025,2,model,,101,
2025,2,model,,101,
2025,2,model,,101,
2025,2,model,,101,
2025,2,model,,101,
2025,2,model,,101,
2025,2,model,,151,
2025,2,model,,151,
2025,2,model,,151,
2025,2,model,,151,
2025,2,model,,151,
2025,2,model,,151,
2025,2,model,,202,
2025,2,model,,202,
2025,2,model,,202,
2025,2,model,,252,
2025,2,model,,353,
2025,2,model,,353,
2025,2,model,,353,
2025,2,model,,403,
2025,2,model,,403,
2025,2,model,,454,
2025,2,model,,504,
2025,2,model,,554,
2025,2,model,,655,
2025,2,model,,706,
2025,2,model,,706,
2025,2,model,,756,
2025,2,model,,756,
2025,2,model,,857,
2025,2,model,,1159,
2025,2,model,,1159,
2025,2,model,,1260,
2025,2,model,,1311,
2025,2,model,,1311,
2025,2,model,,2117,
2025,2,model,,3226,
2025,2,model,,3327,
2025,2,model,,4184,
2025,2,model,,5141,
2025,2,model,,6653,
2025,1,maker,,10,
2025,1,maker,,60,
2025,1,maker,,160,
2025,1,maker,,420,
2025,1,maker,,620,
2025,1,maker,,680,
2025,1,maker,,980,
2025,1,maker,,140,
2025,1,maker,,183,
2025,1,maker,,256,
2025,1,maker,,283,
2025,1,maker,,354,
2025,1,maker,,684,
2025,1,maker,,877,
2025,1,maker,,1037,
2025,1,maker,,1844,
2025,1,maker,,2255,
2025,1,maker,,7470,
2025,1,maker,,23436,
2025,1,model,,42,
2025,1,model,,42,
2025,1,model,,42,
2025,1,model,,42,
2025,1,model,,42,
2025,1,model,,42,
2025,1,model,,83,
2025,1,model,,83,
2025,1,model,,83,
2025,1,model,,167,
2025,1,model,,209,
2025,1,model,,250,
2025,1,model,,292,
2025,1,model,,417,
2025,1,model,,501,
2025,1,model,,543,
2025,1,model,,584,
2025,1,model,,1044,
2025,1,model,,2213,
2025,1,model,,3549,
2025,1,segment,PPV,3102,0.91
2025,1,total,TOTAL,48092,-12.26
2024,11,maker,,40,
2024,11,maker,,100,
2024,11,maker,,360,
2024,11,maker,,590,
2024,11,maker,,650,
2024,11,maker,,800,
2024,11,maker,,119,
2024,11,maker,,196,
2024,11,maker,,242,
2024,11,maker,,303,
2024,11,maker,,329,
2024,11,maker,,488,
2024,11,maker,,858,
2024,11,maker,,1210,
2024,11,maker,,1984,
2024,11,maker,,4618,
2024,11,maker,,16795,
